17094184, -491520, -4303094
16457890, -491520, -8319969
14611276, -491520, -11943520
11735156, -491520, -14818940
8111153, -491520, -16664668
4097296, -491520, -17299982
80426, -491520, -16663688
-3543125, -491520, -14817074
-6418544, -491520, -11940954
-8264272, -491520, -8316951
-8899592, -491520, -4303094
-8264272, -491520, -289243
-6418544, -491520, 3334761
-3543125, -491520, 6210881
80426, -491520, 8057495
4097296, -491520, 8693794
8111153, -491520, 8058474
11735156, -491520, 6212746
14611276, -491520, 3337327
16457890, -491520, -286224
17094184, -491520, -4303094
16780233, -491520, -2321142
17416564, -491520, -6338018
16780266, -491520, -10354892
14933643, -491520, -13978445
12057510, -491520, -16853861
8436514, -491520, -18698612
4419643, -491520, -19334941
402769, -491520, -18698643
-3220783, -491520, -16852020
-6096200, -491520, -13975887
-7940956, -491520, -10354893
-8577278, -491520, -6341194
-7941963, -491520, -2324163
-6096223, -491520, 1299839
-3220794, -491520, 4175958
402763, -491520, 6022577
4416467, -491520, 6658901
8433497, -491520, 6023585
12057500, -491520, 4177846
14933619, -491520, 1302417
16780233, -491520, -2321142
15869102, -491520, -533259
17715748, -491520, -4156811
18352071, -491520, -8173686
17715762, -491520, -12190562
15869124, -491520, -15814112
12995548, -491520, -18687666
9372000, -491520, -20534309
5355125, -491520, -21170632
1338250, -491520, -20534322
-2285300, -491520, -18687684
-5158859, -491520, -15814112
-7004516, -491520, -12193578
-7641821, -491520, -8176859
-7006491, -491520, -4159828
-5160739, -491520, -535827
-2285305, -491520, 2340295
1335233, -491520, 4185955
5351952, -491520, 4823260
9368983, -491520, 4187930
12992984, -491520, 2342178
15869102, -491520, -533259
14450006, -491520, 885492
17326150, -491520, -1989928
19172786, -491520, -5613479
19809097, -491520, -9630355
19172773, -491520, -13647230
17327992, -491520, -17268215
14452575, -491520, -20144355
10829024, -491520, -21990991
6812149, -491520, -22627301
2795274, -491520, -21990977
-825715, -491520, -20146201
-3699984, -491520, -17273347
-5547508, -491520, -13650246
-6184798, -491520, -9633526
-5549456, -491520, -5616496
-3703701, -491520, -1992494
